,Message Body,Message Title,Sent On,NOTIFICATION,INCIDENT / CLERY 1,INCIDENT / CLERY 2,LOC_D,DES1_D,DES2_D,PV_D,PS_D,LOC_S,DES1_S,DES2_S,PV_S,PS_S,LOC_C,DES1_C,DES2_C,PV_C,PS_C,LOC_E,DES1_E,DES2_E,PV_E,PS_E
156,"Please note this message may contain information that some may find upsetting. 
 On 09-11-2022 01:45:00, a robbery occurred at Benvenue Ave at Dight Way. 
 On 9/11/22 at approximately 0145 hours, The victim was robbed of their backpack and laptop via an AR 15 long gun. The suspect was described as a male, in his 30's, wearing a dark colored sweatshirt and black cargo style pants and surgical mask. The suspect was seen getting into a newer style white pick up with covered bed,. The pickup was driven by an unknown described subject and was last scene going southbound Benvenue Ave. 
 BPD Case #22-42352",Violent Crime Reported at Benvenue Ave at Dight Way - Please note this message may contain information that some may find upsetting.,"Sep 11, 2022 02:21:02 PDT",Timely Warning ,Robbery,None,Intersection,none,Memorable detail,none,"Gender, No Race",Intersection,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race",Intersection,Memorable detail,none,none,"Gender, No Race",Intersection,Memorable detail,none,"No Race, Gender Neutral","No Race, Gender Neutral"
157,"Please note this message may contain information that some may find upsetting. 
 On 09-15-2022 13:30:00, a sexual battery occurred at 2650 Haste Unit #2 Cunningham. 
 Sexual Battery reported inside Unit #2 Cunningham. UCPD case #22-02151 
 If you have any information about this crime, or if you know of any similar incidents please contact: UCPD (510) 642-6760",Violent Crime Reported at 2650 Haste Unit #2 Cunningham - Please note this message may contain information that some may find upsetting.,"Sep 15, 2022 19:29:18 PDT",Timely Warning ,Sexual Battery,None,Address / Specific Named,Touch ,Safety Instructions / Tips,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
158,"Please note this message may contain information that some may find upsetting. 
 On 09-19-2022 08:45:00, a hate crime - aggravated assault was reported to have occurred at Intersection of Durant Ave and Ellsworth St, Berkeley. 
 On 09/19/22, at about 8:45am, an aggravated assault occurred near the intersection of Ellsworth St and Durant Ave. An unknown individual attempted to assault a victim using several rocks. The suspect was not arrested. Based on information provided in the initial report of this crime, this crime was believed to have been an anti-Asian hate crime. Any witnesses to this crime are encouraged to report any information they have to UCPD. UCPD case #22-02192.","Violent Crime Reported at Intersection of Durant Ave and Ellsworth St, Berkeley - Please note this message may contain information that some may find upsetting.","Sep 19, 2022 15:32:05 PDT",Timely Warning ,Aggravated Assault,Hate Crimes: Primary,Intersection,Touch ,Reconstructed Scenario,"Gender, No Race",none,Intersection,Reconstructed Scenario,Memorable detail,"Race, Gender Neutral","No Race, Gender Neutral",Intersection,none,none,"Race, Gender Neutral",none,Intersection,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral"
159,"Please note this message may contain information that some may find upsetting. 
 On 09-21-2022 13:30:00, a burglary occurred at Richmond Field Station (RFS). 
 Burglary occurred at the Richmond Field Station (RFS) building 178. Time of occurrence 09/18/2022 1530 - 09/21/2022 1330 hours.",Burglary at Richmond Field Station (RFS),"Sep 21, 2022 19:15:29 PDT",Timely Warning ,Burglary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
160,"Please note this message may contain information that some may find upsetting. 
 On 09-23-2022 22:45:00, an arson occurred at People's Park Housing Construction Site. 
 An unknown suspect set two brush fires in the People's Park Housing Construction site; one in the center area of the park and the 2nd on the N/W area of the park. The Berkeley Fire Dept were able to put out the fires.",Arson Reported at People's Park Housing Construction Site - Please note this message may contain information that some may find upsetting.,"Sep 23, 2022 23:30:57 PDT",Timely Warning ,Arson,None,Block,Reconstructed Scenario,none,none,none,Address / Specific Named,People's Park,none,none,"No Race, Gender Neutral",Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,none,none,"No Race, Gender Neutral"
161,"Please note this message may contain information that some may find upsetting. 
 On 09-29-2022 21:22:00, an aggravated assault occurred at Lower Sproul Plaza. 
 The victim was assaulted in an unprovoked attack that resulted in facial injuries. Case #22-02331",Violent Crime Reported at Lower Sproul Plaza - Please note this message may contain information that some may find upsetting.,"Sep 29, 2022 22:30:32 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,Reconstructed Scenario,none,none,Radius / Area,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral",Address / Specific Named,Touch ,none,none,none,Address / Specific Named,none,none,"No Race, Gender Neutral",none
162,"Please note this message may contain information that some may find upsetting. 
 On 09-29-2022 23:45:00, an aggravated assault occurred at Bancroft Way at Ellsworth St. 
 On 9/29/22 at approximately 2345 hours, the victim was in the area of Bancroft Way and Ellsworth St when he was stabbed in the hand by an adult male, wearing all black clothing after an argument. The suspect left the area W/B Bancroft on a bike. The victim received medical attention. 
 If you have any information please contact BPD. Case #22- 45898.",Violent Crime Reported at Bancroft Way at Ellsworth St - Please note this message may contain information that some may find upsetting.,"Sep 30, 2022 00:06:48 PDT",Timely Warning ,Aggravated Assault,None,Intersection,Touch ,Reconstructed Scenario,"Gender, No Race","Gender, No Race",Intersection,Reconstructed Scenario,Memorable detail,"Gender, No Race","Gender, No Race",Intersection,Touch ,none,none,"Gender, No Race",Intersection,Touch ,Reconstructed Scenario,"Gender, No Race","Gender, No Race"
163,"Please note this message may contain information that some may find upsetting. 
 Community Advisory:
 This is a follow up to the 1:35 a.m. Saturday WarnMe about the incident near Durant and Telegraph Avenues: Four individuals were shot and taken to a local hospital. One has since died. According to the City of Berkeley Police Department, no one involved in the incident is a UC Berkeley student. 
 If you have any information about this case or security footage that captured the suspects, please contact the Berkeley Police Department at (510) 981-5900. Case #2022-47451 
 We realize the proximity of this incident to campus and our residence halls may be disturbing to members of our community. Please seek out support services (uhs.berkeley.edu/caps) which",Community Advisory - Please note this message may contain information that some may find upsetting.,"Oct 08, 2022 10:33:59 PDT",Community Advisory ,None,None,Intersection,Touch ,Reconstructed Scenario,none,none,All campus,Safety Instructions / Tips,Memorable detail,"No Race, Gender Neutral",none,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,none,none,"No Race, Gender Neutral","No Race, Gender Neutral"
164,"Please note this message may contain information that some may find upsetting. 
 On 10-07-2022 01:54:00, a robbery occurred at 2400 block of Durant Ave in front of Blackwell Hall. 
 On 10/07/2022 at about 0154 hours a UC Berkeley was hit twice in the head and robbed in front of Blackwell Hall. UCPD case #22- 02434",Violent Crime Reported at 2400 block of Durant Ave in front of Blackwell Hall - Please note this message may contain information that some may find upsetting.,"Oct 07, 2022 17:19:59 PDT",Timely Warning ,Robbery,None,Block,Touch ,Reconstructed Scenario,none,none,Block,Reconstructed Scenario,none,"No Race, Gender Neutral",none,Block,Touch ,none,none,none,Address / Specific Named,Touch ,Reconstructed Scenario,"No Race, Gender Neutral","No Race, Gender Neutral"
165,"UC Berkeley WarnMe: AVOID THE AREA of Telegraph and Durant until further notice 10-08- 202205:48:44. 
 Area clear",UC Berkeley WarnMe: AVOID THE AREA of Telegraph and Durant10- 08-202205:48:44,"Oct 08, 2022 05:48:44 PDT",All Clear,,None,Intersection,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none
166,"UC Berkeley WarnMe: AVOID THE AREA of Telegraph and Durant until further notice 10-08- 202201:35:34. 
 Avoid the area. City of Berkeley responded to an emergency to this location. Stay out of the area.",UC Berkeley WarnMe: AVOID THE AREA of Telegraph and Durant10- 08-202201:35:34,"Oct 08, 2022 01:35:34 PDT",,,None,Intersection,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none
167,"Please note this message may contain information that some may find upsetting. 
 On 10-11-2022 17:35:00, a robbery occurred at Bancroft Way and Telegraph Avenue. 
 On 10/11/2022 at 1735 hours a robbery occurred at Bancroft Way and Telegraph Avenue.",Violent Crime Reported at Bancroft Way and Telegraph Avenue - Please note this message may contain information that some may find upsetting.,"Oct 11, 2022 18:05:08 PDT",Timely Warning ,Robbery,None,Intersection,none,none,none,none,Intersection,Reconstructed Scenario,none,none,none,Intersection,none,none,none,none,Intersection,none,none,none,none
168,"Please note this message may contain information that some may find upsetting. 
 On 10-15-2022 05:41:00, a robbery occurred at People's Park. 
 The victim reported that he was robbed of his cell phone via stick and chemical agent spray attack. The victim described the suspect only as a light-skinned male.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Oct 15, 2022 06:03:36 PDT",Timely Warning ,Robbery,None,Block,Reconstructed Scenario,People's Park,"Gender, No Race","Gender, No Race",Address / Specific Named,People's Park,Memorable detail,"Gender, No Race","Race, Gender",Address / Specific Named,People's Park,none,none,"Race, Gender",Intersection,People's Park,none,"Gender, No Race","Race, Gender"
169,"Please note this message may contain information that some may find upsetting. 
 On 10-19-2022 14:57:00, a sexual assault occurred at People's Park Construction Site. 
 A sexual assault occurred inside the People's Park Construction Site. 
 If you have any information about this crime, or if you know of any similar incidents please contact: UCPD (510) 642-6760",Violent Crime Reported at People's Park Construction Site - Please note this message may contain information that some may find upsetting.,"Oct 19, 2022 15:25:03 PDT",Timely Warning ,Sexual Assault,None,Block,Touch ,People's Park,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,none,none,none
170,"Please note this message may contain information that some may find upsetting. 
 On 10-21-2022 05:00:00, an aggravated assault occurred at Haste St and Bowditch St (Near People's Park). 
 An unidentified Suspect still at large brandished a knife at passerby. Berkeley PD is searching for suspect that may have gone into People's Park. UCPD is assisting.",Violent Crime Reported at Haste St and Bowditch St (Near People's Park) - Please note this message may contain information that some may find upsetting.,"Oct 21, 2022 17:15:14 PDT",Timely Warning ,Aggravated Assault,None,Intersection,Reconstructed Scenario,People's Park,none,none,Radius / Area,People's Park,Reconstructed Scenario,none,"No Race, Gender Neutral",Intersection,none,none,none,none,Intersection,Reconstructed Scenario,People's Park,"No Race, Gender Neutral","No Race, Gender Neutral"
171,"Please note this message may contain information that some may find upsetting. 
 On 10-27-2022 08:50:00, a robbery occurred at Strawberry Canyon Pool Parking Lot. 
 A robbery occurred at Strawberry Canyon parking lot. Two suspect fled in a newer light Nissan Altima with unidentified license plates. Suspects still outstanding.",Violent Crime Reported at Strawberry Canyon Pool Parking Lot - Please note this message may contain information that some may find upsetting.,"Oct 27, 2022 09:30:39 PDT",Timely Warning ,Robbery,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,Memorable detail,none,"No Race, Gender Neutral",Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral"
172,"Please note this message may contain information that some may find upsetting. 
 On 10-29-2022 03:25:00, a robbery occurred at College Ave at Derby St. 
 On 10/29/22 at approximately 0325 hours, in the area of College Ave at Derby St a robbery occurred via gun. The suspect is described to be in their 20's, wearing a ski mask and all black clothing. The suspect was seen getting into the rear passenger side of a black BMW SUV. The vehicle then left the area southbound.",Violent Crime Reported at College Ave at Derby St - Please note this message may contain information that some may find upsetting.,"Oct 29, 2022 03:45:23 PDT",Timely Warning ,Robbery,None,Intersection,Reconstructed Scenario,none,none,none,Radius / Area,Reconstructed Scenario,none,none,"No Race, Gender Neutral",Intersection,none,none,none,none,Intersection,Reconstructed Scenario,none,none,"No Race, Gender Neutral"
173,"Community Advisory: 
 
 
   There is a Cal football game on campus this weekend and Halloween is approaching. Let's keep our social gatherings enjoyable for everyone: Practice consent and interrupt unhealthy behavior before it escalates. 
 Get Consent, Respect Boundaries: Practice affirmative consent at all times. Practice acceptance of your own and others’ 
 boundaries. 
 Consent requires an affirmative, conscious, voluntary, and ongoing agreement from each person to engage in every activity, which is always revocable at any time. Alcohol and other substances can impact someone's ability to give consent. 
 Be Yourself: As you are navigating spaces, think about the choices you are making. You have",Community Advisory - Get Consent and Respect Boundaries,"Oct 28, 2022 09:49:47 PDT",Community Advisory ,None,None,All campus,Touch ,Safety Instructions / Tips,none,none,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none
174,"Please note this message may contain information that some may find upsetting. 
 On 10-30-2022 02:00:00, an aggravated assault occurred at Li Ka Shing Center. 
 On 10-30-2022, at about 02:00:00, an aggravated assault occurred at the Li Ka Shing Center. Victim was punched and then kicked by an unknown suspect while on the ground in an unprovoked attack on the south side of the Li Ka Shing Center, causing injuries to his face. The unidentified suspect and two other individuals fled the scene in a gray sedan [UCPD Case # 22- 02702]",Violent Crime Reported at Li Ka Shing Center - Please note this message may contain information that some may find upsetting.,"Oct 30, 2022 17:21:33 PDT",Timely Warning ,Aggravated Assault,None,Address / Specific Named,Touch ,Reconstructed Scenario,"Gender, No Race",none,Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","No Race, Gender Neutral",Address / Specific Named,Touch ,none,none,none,Address / Specific Named,Reconstructed Scenario,Touch ,"Gender, No Race","No Race, Gender Neutral"
175,"Please note this message may contain information that some may find upsetting. 
 On 11-12-2022 00:01:00, a burglary occurred at Channing- Bowditch Apartments, 2535 Channing Way, Berkeley. 
 On 11-12-2022, between
 midnight and 0400 hours, a burglary occurred at the Channing- Bowditch Apartments, located at 2535 Channing Way. An unknown individual(s) entered a room in an occupied residence and stole a touchscreen tablet computer. [UCPD Case #22-02851]","Burglary at Channing-Bowditch Apartments, 2535 Channing Way, Berkeley","Nov 12, 2022 12:36:52 PST",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral"
176,"Please note this message may contain information that some may find upsetting. 
 On 11-17-2022 15:30:00, a robbery occurred at Etcheverry Hall/Soda Hall breezeway. 
 On 11/17/22 at approximately 1530 hours, a robbery occurred in the breezeway area between Etcheverry Hall and Soda Hall. The victim's phone was taken from their hand and then thrown back at them. The suspect also threw a glass bottle in the direction of the victim, nearly hitting them. 
 Suspect is described as a male approximately 5'7, in his 30's, wearing a brown plaid shirt, green beanie and blue jeans. Last seen eastbound on Ridge Rd. 
 Case #22-02893",Violent Crime Reported at Etcheverry Hall/Soda Hall breezeway - Please note this message may contain information that some may find upsetting.,"Nov 17, 2022 19:59:25 PST",Timely Warning ,Robbery,None,Radius / Area,Touch ,Reconstructed Scenario,none,"Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race",Address / Specific Named,Touch ,none,none,"Gender, No Race",Address / Specific Named,Touch ,Reconstructed Scenario,"No Race, Gender Neutral","Gender, No Race"
177,"Please note this message may contain information that some may find upsetting. 
 On 11-18-2022 03:31:00, a burglary occurred at UVA Grounds Shop, 298 Ohlone Ave, Albany. 
 On 11/18/22 at approximately 0331 hours, a burglary occurred at the University Village Grounds Shop, located at 298 Ohlone Ave, in Albany. An unknown individual(s) entered several rooms in the grounds shop area and stole an unknown amounts of items. 
 Case #22-02899.","Burglary at UVA Grounds Shop, 298 Ohlone Ave, Albany","Nov 18, 2022 05:44:17 PST",Timely Warning ,Burglary,None,Radius / Area,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral"
178,"Please note this message may contain information that some may find upsetting. 
 On 11-18-2022 03:31:00, a burglary occurred at UVA Grounds Shop, 298 Ohlone Ave, Albany. 
 On 11/18/22 at approximately 0331 hours, a burglary occurred at the University Village Grounds Shop, located at 298 Ohlone Ave, in Albany. An unknown individual(s) entered several rooms in the grounds shop area and stole an unknown amounts of items. The suspect(s) also stole a UC vehicle from the grounds parking lot area. 
 Case #22-02899.","Burglary at UVA Grounds Shop, 298 Ohlone Ave, Albany","Nov 18, 2022 05:46:31 PST",Timely Warning ,Burglary,None,Radius / Area,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,Memorable detail,none,"No Race, Gender Neutral",Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral"
179,"Please note this message may contain information that some may find upsetting. 
 On 11-17-2022 15:30:00, a robbery occurred at Etcheverry Hall/Soda Hall breezeway. 
 On 11/17/22 at approximately 1530 hours, a robbery occurred in the breezeway area between Etcheverry Hall and Soda Hall. The victim's phone was taken from their hand and then thrown back at them. The suspect also threw a glass bottle in the direction of the victim, nearly hitting them. 
 Suspect is described as a male approximately 5'7, in his 30's, wearing a brown plaid shirt, green beanie and blue jeans. Last seen eastbound on Ridge Rd. 
 Case #22-02893",Violent Crime Reported at Etcheverry Hall/Soda Hall breezeway - Please note this message may contain information that some may find upsetting.,"Nov 18, 2022 05:47:36 PST",Timely Warning ,Robbery,None,Radius / Area,Touch ,Reconstructed Scenario,none,"Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race",Radius / Area,Touch ,none,none,"Gender, No Race",Address / Specific Named,Touch ,Reconstructed Scenario,"No Race, Gender Neutral","Gender, No Race"
180,"Please note this message may contain information that some may find upsetting. 
 On 11-20-2022 21:06:00, an aggravated assault occurred at Gayley Rd and Hearst Ave. 
 At approximately 9:06pm, three UC Berkeley student CSOs were shot at with a BB gun, by people driving a grey Mercedes Benz. Two of the students were struck, but not injured. The car was located a short distance away. One of the passengers was identified as the shooter and arrested. 
 Case 22-02945",Violent Crime Reported at Gayley Rd and Hearst Ave - Please note this message may contain information that some may find upsetting.,"Nov 20, 2022 23:20:50 PST",Timely Warning ,Aggravated Assault,None,Intersection,Touch ,Reconstructed Scenario,none,none,Intersection,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","No Race, Gender Neutral",Intersection,none,none,none,none,Intersection,Memorable detail,Reconstructed Scenario,"No Race, Gender Neutral","No Race, Gender Neutral"
181,"Please note this message may contain information that some may find upsetting. 
 On 11-23-2022 19:15:00, an aggravated assault occurred at People's Park Housing Construction Site. 
 On 11/23/22 at approximately 1915 hours, a victim was struck in the head with a golf club on the south side of the People's Park Housing Construction Site. The fire dept attended to the victim and their injuries at the scene and they were not transported to the hospital. The suspect is described as a female, approximately 35-40 yrs old, 5'6 - 5'8, short hair, wearing black and blue sweatpants and a black top. 
 Case #22-02969.",Violent Crime Reported at People's Park Housing Construction Site - Please note this message may contain information that some may find upsetting.,"Nov 23, 2022 21:17:31 PST",Timely Warning ,Aggravated Assault,None,Block,Touch ,People's Park,none,"Gender, No Race",Address / Specific Named,People's Park,Memorable detail,"No Race, Gender Neutral","Gender, No Race",Address / Specific Named,People's Park,none,none,"Gender, No Race",Address / Specific Named,People's Park,Reconstructed Scenario,"No Race, Gender Neutral","Gender, No Race"
182,"Please note this message may contain information that some may find upsetting. 
 On 11-30-2022 20:45:00, a sexual battery occurred at a UC Berkeley Residence Hall. 
 A female student reported seeing the suspect in the lobby of her building around 8:45 pm on 11/30/22. The suspect was short and small in stature, possibly a juvenile. He was wearing a black hoody and a yellow ski mask. The reporting party took the elevator upstairs alone. A short time later, she felt the suspect grab her buttocks with both hands. She turned and saw him run down the stairs. About five minutes later, the reporting party returned to the lobby with a friend and saw the suspect again. He ran from the building when he saw the reporting party. 
 If you have any information about this crime, or if you know of any",Violent Crime Reported at a UC Berkeley Residence Hall - Please note this message may contain information that some may find upsetting.,"Dec 01, 2022 10:47:16 PST",Timely Warning ,Sexual Battery,None,Radius / Area,Touch ,Reconstructed Scenario,"Gender, No Race","Gender, No Race",Address / Specific Named,Reconstructed Scenario,Touch ,"Gender, No Race","Gender, No Race",Address / Specific Named,Touch ,none,"Gender, No Race",none,Address / Specific Named,Reconstructed Scenario,Memorable detail,"Gender, No Race","Gender, No Race"
183,"Please note this message may contain information that some may find upsetting. 
 On 12-06-2022 20:30:00, a robbery occurred at 2528 Durant Ave. 
 An attempted strong arm robbery occurred at 2528 Durant Ave (Taco Bell Cantina). The suspect is described as a male adult, approximately 6'2, 250 lbs, wearing a black sweat shirt with a skull and black/teal pants. Last seen W/B on Durant Ave. 
 BPD Case #22-57397.",Violent Crime Reported at 2528 Durant Ave - Please note this message may contain information that some may find upsetting.,"Dec 06, 2022 21:43:09 PST",Timely Warning ,Robbery,None,Address / Specific Named,Touch ,Memorable detail,none,"Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,none,"Gender, No Race",Address / Specific Named,none,none,none,"Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,none,"Gender, No Race"
184,"Please note this message may contain information that some may find upsetting. 
 On 12-08-2022 03:00:00, a burglary occurred at Foothill Building 2. 
 Sometime between 12/8/22 0300 hrs - 12/9/22 2000 hrs, a burglary occurred at the Foothill Bldg 2 complex. Taken was a computer monitor.",Burglary at Foothill Building 2,"Dec 09, 2022 22:48:18 PST",Timely Warning ,Burglary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
185,"Please note this message may contain information that some may find upsetting. 
 On 12-09-2022 20:00:00, a burglary occurred at 2521 Channing Way, Berkeley. 
 Sometime between 12/09/22, at 2000 hours and 12/11/22, at 0800 hours, a burglary occurred at 2521 Channing Way. An unknown number of suspects forcibly entered the building and stole office equipment. No suspect information at this time. This case is under investigation.","Burglary at 2521 Channing Way, Berkeley","Dec 12, 2022 16:47:11 PST",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,"No Race, Gender Neutral"
186,"Please note this message may contain information that some may find upsetting. 
 On 12-13-2022 01:57:00, a burglary occurred at Plum Center. 
 Early this morning at 2 am, three unidentified suspects entered the UC Berkeley Blum Center by smashing a window to gain entrance. Evidence was collected at the scene and unknown what the three suspects took at this time. Suspects are still outstanding. This case is under investigation.",Burglary at Plum Center,"Dec 13, 2022 15:13:04 PST",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral"
187,"Please note this message may contain information that some may find upsetting. 
 On 12-23-2022 23:20:00, an aggravated assault occurred at Bowditch St at Bancroft Way. 
 On 12/23/22 at approximately 2320 hours, the victim was walking N/B on Bowditch St crossing Bancroft Way. When the victim reached the north sidewalk the suspect hit them in the head from behind and proceeded to slash at them with a knife. The victim ran away from the scene and into UCPD. Berkeley PD was contacted for the report. 
 Suspect was described as a male, thin build, approximately 5'4, bald, long beard, no clothes on, armed with a knife. Suspect fled in an unknown direction. 
 BPD Case #22-59969.",Violent Crime Reported at Bowditch St at Bancroft Way - Please note this message may contain information that some may find upsetting.,"Dec 24, 2022 00:44:52 PST",Timely Warning ,Aggravated Assault,None,Intersection,Reconstructed Scenario,Touch ,none,"Gender, No Race",Intersection,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race",Intersection,Touch ,none,none,"Gender, No Race",Intersection,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race"
188,"Please note this message may contain information that some may find upsetting. 
 On 01-04-2023 11:00:00, a sexual assault occurred at People's Park Housing Construction Site. 
 Resident and survivor of People's Park Housing Construction Site (PPHCS) reported to UCPD that she had been sexually assaulted by a suspect that frequents PPHCS Site. UCPD officers search the area with negative results. This case is under investigation. 
 If you have any information about this crime, or if you know of any similar incidents please contact: UCPD (510) 642-6760",Violent Crime Reported at People's Park Housing Construction Site - Please note this message may contain information that some may find upsetting.,"Jan 04, 2023 12:03:03 PST",Timely Warning ,Sexual Assault,None,Block,Touch ,People's Park,"Gender, No Race","Gender, No Race",Address / Specific Named,People's Park,Touch ,"Gender, No Race","No Race, Gender Neutral",Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,none,"Gender, No Race","No Race, Gender Neutral"
189,"UC Berkeley WarnMe: AVOID THE AREA of Li Ka Shing Center until further notice 01-08- 202310:19:26. 
 Due to a serious steam leak, please stay away from the Li Ka Shing Center. If you are already inside, please leave the building while the maintenance issue is evaluated and worked on. Thank you.",UC Berkeley WarnMe: AVOID THE AREA of Li Ka Shing Center01-08- 202310:19:26,"Jan 08, 2023 10:19:26 PST",Emergency Notification,Incident: Environmental / Weather,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
190,"UC Berkeley WarnMe: AVOID THE AREA of Li Ka Shing Center until further notice 01-08- 202313:16:02. 
 Maintenance to fix a steam fixture is underway. Please continue to stay away from Li Ka Shing Center. The building is currently closed while repairs are going on. Thank you.",UC Berkeley WarnMe: AVOID THE AREA of Li Ka Shing Center01-08- 202313:16:02,"Jan 08, 2023 13:16:02 PST",Emergency Notification,Incident: Environmental / Weather,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
191,"UC Berkeley WarnMe: AVOID THE AREA of Li Ka Shing Center until further notice 01-08- 202314:09:05. 
 All clear - The building is now open for normal operations. Thank you for your patience.",ALL CLEAR - UC Berkeley WarnMe: AVOID THE AREA of Li Ka Shing Center01-08- 202314:09:05,"Jan 08, 2023 14:09:05 PST",All Clear,Incident: Environmental / Weather,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
192,"UC Berkeley WarnMe: AVOID THE AREA of Sports Lane, Clark Kerr Campus until further notice 01-16- 202308:25:19. 
 Due to a mud slide, please avoid Sports Lane, at the Clark Kerr Campus.","UC Berkeley WarnMe: AVOID THE AREA of Sports Lane, Clark Kerr Campus01-16-202308:25:19","Jan 16, 2023 08:25:19 PST",Emergency Notification,Incident: Environmental / Weather,None,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none
193,"UC Berkeley WarnMe: AVOID THE AREA of Sports Lane, Clark Kerr Campus until further notice 01-17- 202316:25:40. 
 Due to a mud slide, please avoid Sports Lane, at the Clark Kerr Campus. 
 *UPDATE* 
 The mud has been cleared from the road.
 Sports Lane at the Clark Kerr Campus is now open.","UC Berkeley WarnMe: Sports Lane, Clark Kerr Campus is now open01-17-202316:25:40","Jan 17, 2023 16:25:40 PST",All Clear,Incident: Environmental / Weather,None,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none
